Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
18:45:29.652,PERSON,ORTA,63,"(21, 378, 1269, 708)"
18:45:29.840,PERSON,ORTA,87,"(421, 353, 838, 715)"
18:45:29.911,PERSON,ORTA,81,"(398, 343, 839, 715)"
18:45:29.980,PERSON,ORTA,73,"(407, 320, 822, 715)"
18:45:30.067,PERSON,ORTA,72,"(399, 318, 822, 715)"
18:45:30.155,PERSON,ORTA,84,"(319, 319, 816, 714)"
18:45:30.218,PERSON,ORTA,71,"(211, 292, 827, 717)"
18:45:30.293,PERSON,ORTA,70,"(224, 287, 824, 716)"
18:45:30.389,PERSON,ORTA,79,"(348, 309, 809, 714)"
18:45:30.469,PERSON,ORTA,82,"(290, 305, 809, 716)"
18:45:30.534,PERSON,ORTA,66,"(203, 282, 826, 716)"
18:45:30.596,PERSON,ORTA,75,"(110, 283, 826, 716)"
18:45:30.667,PERSON,ORTA,67,"(221, 290, 828, 718)"
18:45:30.750,PERSON,ORTA,71,"(210, 294, 826, 717)"
18:45:30.819,PERSON,ORTA,77,"(220, 296, 825, 716)"
18:45:30.903,PERSON,ORTA,50,"(494, 357, 832, 715)"
18:45:30.984,PERSON,ORTA,77,"(287, 336, 845, 714)"
18:45:31.051,PERSON,ORTA,68,"(117, 255, 857, 716)"
18:45:31.106,PERSON,ORTA,72,"(202, 263, 834, 714)"
18:45:31.179,PERSON,ORTA,79,"(239, 279, 821, 713)"
18:45:31.246,PERSON,ORTA,83,"(268, 316, 838, 717)"
18:45:31.309,PERSON,ORTA,83,"(273, 311, 844, 718)"
18:45:31.379,PERSON,ORTA,79,"(152, 308, 851, 716)"
18:45:31.443,PERSON,ORTA,74,"(318, 325, 858, 716)"
18:45:31.521,PERSON,ORTA,84,"(179, 323, 853, 716)"
18:45:31.598,PERSON,ORTA,67,"(238, 315, 848, 715)"
18:45:31.658,PERSON,ORTA,60,"(295, 295, 876, 714)"
18:45:31.719,PERSON,ORTA,59,"(270, 301, 874, 715)"
18:45:31.779,PERSON,ORTA,62,"(182, 307, 856, 715)"
18:45:31.840,PERSON,ORTA,70,"(253, 308, 862, 714)"
18:45:31.908,PERSON,ORTA,41,"(187, 307, 857, 714)"
18:45:31.980,PERSON,ORTA,59,"(238, 306, 867, 714)"
18:45:32.047,PERSON,ORTA,52,"(256, 283, 864, 715)"
18:45:32.109,PERSON,ORTA,62,"(246, 283, 864, 714)"
18:45:32.173,PERSON,ORTA,60,"(264, 285, 888, 716)"
18:45:32.247,PERSON,ORTA,65,"(254, 294, 846, 714)"
18:45:32.315,PERSON,ORTA,59,"(233, 295, 874, 715)"
18:45:32.382,PERSON,ORTA,66,"(275, 294, 888, 715)"
18:45:32.451,PERSON,ORTA,46,"(461, 292, 843, 714)"
18:45:32.516,PERSON,ORTA,67,"(274, 291, 859, 715)"
18:45:32.577,PERSON,ORTA,56,"(268, 287, 852, 715)"
18:45:32.642,PERSON,ORTA,50,"(193, 278, 891, 714)"
18:45:32.778,PERSON,ORTA,42,"(389, 267, 942, 717)"
18:45:32.838,PERSON,ORTA,59,"(122, 271, 871, 714)"
18:45:32.916,PERSON,ORTA,61,"(465, 265, 855, 716)"
