Timestamp,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
19:12:43.007,PERSON,ORTA,86,NO,"(453, 254, 869, 712)"
19:12:43.096,PERSON,ORTA,86,NO,"(453, 255, 871, 712)"
19:12:43.159,PERSON,ORTA,88,NO,"(456, 259, 867, 714)"
19:12:43.222,PERSON,ORTA,88,NO,"(454, 266, 864, 713)"
19:12:43.278,PERSON,ORTA,87,NO,"(452, 278, 860, 714)"
19:12:43.339,PERSON,ORTA,87,NO,"(452, 278, 860, 714)"
19:12:43.396,PERSON,ORTA,87,NO,"(449, 297, 855, 715)"
19:12:43.455,PERSON,ORTA,86,NO,"(449, 290, 856, 714)"
19:12:43.516,PERSON,ORTA,86,NO,"(449, 290, 856, 714)"
19:12:43.576,PERSON,ORTA,87,NO,"(451, 282, 860, 715)"
19:12:43.637,PERSON,ORTA,88,NO,"(452, 282, 861, 715)"
19:12:43.699,PERSON,ORTA,89,NO,"(451, 269, 862, 714)"
19:12:43.781,PERSON,ORTA,89,NO,"(450, 268, 860, 714)"
19:12:43.842,PERSON,ORTA,87,NO,"(449, 263, 856, 713)"
19:12:43.907,PERSON,ORTA,87,NO,"(449, 263, 856, 713)"
19:12:43.968,PERSON,ORTA,88,NO,"(447, 264, 855, 714)"
19:12:44.027,PERSON,ORTA,87,NO,"(447, 263, 855, 714)"
19:12:44.084,PERSON,ORTA,88,NO,"(448, 260, 855, 714)"
19:12:44.142,PERSON,ORTA,87,NO,"(448, 261, 856, 714)"
19:12:44.200,PERSON,ORTA,88,NO,"(448, 262, 855, 714)"
19:12:44.257,PERSON,ORTA,87,NO,"(446, 259, 856, 714)"
19:12:44.318,PERSON,ORTA,88,NO,"(445, 259, 854, 713)"
19:12:44.377,PERSON,ORTA,88,NO,"(447, 258, 855, 714)"
19:12:44.435,PERSON,ORTA,88,NO,"(447, 258, 855, 714)"
19:12:44.494,PERSON,ORTA,87,NO,"(445, 255, 858, 713)"
19:12:44.558,PERSON,ORTA,88,NO,"(445, 253, 857, 714)"
19:12:45.205,PERSON,ORTA,90,NO,"(439, 240, 848, 713)"
19:12:45.262,PERSON,ORTA,89,NO,"(439, 234, 848, 712)"
19:12:45.320,PERSON,ORTA,88,NO,"(440, 230, 848, 712)"
19:12:45.375,PERSON,ORTA,90,NO,"(447, 204, 849, 712)"
19:12:45.436,PERSON,ORTA,90,NO,"(447, 193, 850, 710)"
19:12:45.494,PERSON,ORTA,90,NO,"(448, 180, 849, 710)"
19:12:45.552,PERSON,ORTA,85,NO,"(443, 160, 850, 708)"
19:12:45.609,PERSON,ORTA,77,NO,"(455, 159, 851, 708)"
19:12:45.669,PERSON,ORTA,72,NO,"(447, 154, 852, 709)"
19:12:45.725,PERSON,ORTA,72,NO,"(447, 154, 852, 709)"
19:12:45.787,PERSON,ORTA,74,NO,"(427, 142, 858, 710)"
19:12:45.845,PERSON,ORTA,71,NO,"(0, 124, 864, 711)"
