Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
14:41:21.951,HDF-???,DRONE,YUKSEK,46,YES,"(225, 232, 371, 311)"
14:41:22.400,HDF-???,DRONE,YUKSEK,42,YES,"(212, 246, 358, 325)"
14:41:22.506,HDF-???,DRONE,YUKSEK,60,YES,"(217, 240, 364, 324)"
14:41:22.613,HDF-???,DRONE,YUKSEK,26,YES,"(222, 239, 370, 325)"
14:41:22.659,HDF-???,DRONE,YUKSEK,26,YES,"(222, 239, 370, 325)"
14:41:22.777,HDF-???,DRONE,YUKSEK,72,YES,"(250, 245, 394, 324)"
14:41:22.862,HDF-???,DRONE,YUKSEK,81,YES,"(252, 241, 396, 325)"
14:41:22.928,HDF-001,DRONE,YUKSEK,77,YES,"(254, 247, 398, 325)"
14:41:22.984,HDF-001,DRONE,YUKSEK,67,YES,"(254, 249, 398, 325)"
14:41:23.026,HDF-001,DRONE,YUKSEK,67,YES,"(254, 250, 397, 325)"
14:41:23.073,HDF-001,DRONE,YUKSEK,71,YES,"(253, 245, 396, 324)"
14:41:23.116,HDF-001,DRONE,YUKSEK,43,YES,"(251, 247, 394, 324)"
14:41:23.171,HDF-001,DRONE,YUKSEK,64,YES,"(250, 246, 395, 325)"
14:41:23.219,HDF-001,DRONE,YUKSEK,36,YES,"(250, 247, 394, 325)"
14:41:23.286,HDF-001,DRONE,YUKSEK,59,YES,"(246, 245, 391, 325)"
14:41:23.376,HDF-001,DRONE,YUKSEK,43,YES,"(246, 247, 390, 325)"
14:41:23.444,HDF-001,DRONE,YUKSEK,44,YES,"(245, 246, 390, 325)"
14:41:23.540,HDF-001,DRONE,YUKSEK,46,YES,"(242, 246, 387, 323)"
14:41:23.587,HDF-001,DRONE,YUKSEK,67,YES,"(241, 249, 384, 324)"
14:41:23.645,HDF-001,DRONE,YUKSEK,83,YES,"(242, 240, 384, 325)"
14:41:36.491,HDF-???,TANK,YUKSEK,27,NO,"(0, 50, 155, 461)"
14:41:36.718,HDF-???,TANK,YUKSEK,26,NO,"(0, 55, 124, 463)"
14:41:37.036,HDF-???,TANK,YUKSEK,33,NO,"(0, 92, 115, 470)"
14:41:44.865,HDF-???,TANK,YUKSEK,35,YES,"(0, 160, 635, 480)"
14:41:44.922,HDF-???,TANK,YUKSEK,29,YES,"(0, 151, 639, 480)"
14:41:48.406,HDF-???,TANK,YUKSEK,28,NO,"(0, 170, 89, 480)"
14:41:48.455,HDF-???,TANK,YUKSEK,29,NO,"(0, 177, 72, 480)"
